AD_ID,PRODUCT_ID,ADS_DESCRIPTION,DISCOUNT_RATE,ADS_START_DATE,ADS_END_DATE
5001030,3000832,The Art of Baking Sale! Discounts on stand mixers and cake decorating tools.,0.16,2/2/2024,2/8/2024
5000873,3000031,Capture Memories! Save on instant cameras and portable printers.,0.25,11/29/2023,11/30/2023
5000740,3000647,The Gift of Fitness! Discounts on fitness trackers and smartwatches (perfect for gifts).,0.21,3/3/2023,3/24/2023
5000538,3000820,Bakeware Bonanza! Save on nesting bakeware sets and baking sheets.,0.43,1/12/2024,1/13/2024
5000501,3000291,Work From Home Wins! Discounts on ergonomic chairs and wireless keyboards.,0.24,11/9/2023,11/15/2023
5000896,3000741,The Art of Fermentation! Save on yogurt makers and kombucha brewing kits.,0.23,9/12/2023,9/24/2023
5001052,3000846,Capture the Stars! Discounts on telescopes and stargazing apps.,0.32,1/20/2024,2/2/2024
5000508,3000710,Capture the Stars! Discounts on telescopes and stargazing apps.,0.15,12/14/2023,1/1/2024
5000269,3000110,Summer Sipping Sale! Discounts on blenders and smoothie makers.,0.23,8/7/2023,8/18/2023
5000283,3000204,Capture Memories! Save on instant cameras and portable printers.,0.13,2/17/2024,3/10/2024
5000483,3000894,The Art of Sushi at Home! Save on sushi-making kits and rice cookers.,0.36,3/9/2023,3/30/2023
5000890,3000582,Spice Up Your Kitchen! Discounts on herb garden kits and spice racks.,0.15,1/3/2024,1/21/2024
5000100,3000965,Healthy Snack Station! Save on air fryers and dehydrators.,0.14,7/23/2023,8/17/2023
5000736,3000197,Upgrade Essentials! Save big on smartwatches and fitness trackers.,0.2,8/21/2023,9/14/2023
5000181,3000629,The Productivity Boost! Save on noise-canceling headphones and wireless keyboards (ergonomic).,0.11,12/28/2023,1/1/2024
5000083,3000659,Spice Up Your Kitchen! Discounts on herb garden kits and spice racks.,0.26,4/23/2023,5/17/2023
5000406,3000316,The Power of Music! Discounts on wireless speakers and portable chargers (high capacity).,0.45,12/2/2023,1/1/2024
5000421,3000176,Clean & Green Sale! Discounts on air purifiers and sustainable food storage.,0.48,5/8/2023,5/27/2023
5000974,3000002,Portable Power Perks! Save on portable speakers and power banks.,0.44,1/13/2024,1/19/2024
5000939,3000668,Light Up Your Life! Discounts on smart lighting kits and decorative lamps.,0.18,6/21/2023,7/8/2023
5000569,3000460,Level Up Your Gaming! Discounts on VR headsets and gaming controllers.,0.37,5/16/2023,5/21/2023
5000325,3000220,Breakfast Bonanza! Save on waffle makers and breakfast sandwich makers.,0.32,10/8/2023,10/14/2023
5000843,3000160,Soup's On Sale! Discounts on immersion blenders and slow cookers.,0.36,7/7/2023,7/25/2023
5000077,3000162,Home Theater Upgrade! Huge discounts on projectors and screens.,0.39,2/15/2024,3/8/2024
5000533,3000660,Read Anywhere! Save on e-readers and audiobooks.,0.47,3/11/2023,4/9/2023
5000866,3000516,Movie Marathon Must-Haves! Save on streaming devices and popcorn makers.,0.14,6/20/2023,7/8/2023
5000423,3000943,Crystal Clear Sound! Save on noise-canceling headphones and soundbars.,0.28,2/5/2024,2/19/2024
5000241,3000461,Get Creative! Save on digital cameras and editing software.,0.16,3/26/2023,4/19/2023
5000372,3000350,Back to Basics Sale! Extra savings on timeless wardrobe staples.,0.44,6/28/2023,7/25/2023
5000606,3000857,Kitchen Gadget Giveaway! Enter to win a food processor or blender.,0.31,4/5/2023,5/3/2023
5000965,3000336,Upgrade Essentials! Save big on smartwatches and fitness trackers.,0.33,8/19/2023,8/23/2023
5000503,3000612,Summer Sipping Sale! Discounts on blenders and smoothie makers.,0.42,5/3/2023,5/27/2023
5000373,3000183,Upgrade Essentials! Save big on smartwatches and fitness trackers.,0.17,1/16/2024,1/27/2024
5000285,3000975,Summer Sipping Sale! Discounts on blenders and smoothie makers.,0.38,6/27/2023,7/10/2023
5000263,3000932,Light Up Your Life! Discounts on smart lighting kits and decorative lamps.,0.19,7/26/2023,8/15/2023
5000951,3000532,The Art of Fermentation! Save on yogurt makers and kombucha brewing kits.,0.28,8/1/2023,8/4/2023
5000427,3000597,Soup's On Sale! Discounts on immersion blenders and slow cookers.,0.22,10/17/2023,10/21/2023
5000702,3000537,The Gift of Fitness! Discounts on fitness trackers and smartwatches (perfect for gifts).,0.23,8/9/2023,9/6/2023
5001053,3000028,Light Up Your Life! Discounts on smart lighting kits and decorative lamps.,0.45,8/1/2023,8/25/2023
5000499,3000383,Leftovers Love! Save on food storage containers and portion control tools.,0.36,11/13/2023,12/4/2023
5000194,3000630,"Sun's Out, Savings Out! Extra discounts on swimwear and sun hats.",0.45,3/13/2023,4/11/2023
5000473,3000470,Work From Home Wins! Discounts on ergonomic chairs and wireless keyboards.,0.44,2/11/2024,2/17/2024
5000324,3000284,Level Up Your Gaming! Discounts on VR headsets and gaming controllers.,0.32,3/9/2023,3/20/2023
5000781,3000061,"Cozy Fall Fashion! Extra savings on sweaters, scarves, and boots.",0.5,10/14/2023,11/8/2023
5000741,3000947,Capture Memories! Save on instant cameras and portable printers.,0.42,12/9/2023,12/28/2023
5000368,3000007,Get Creative! Save on digital cameras and editing software.,0.1,1/13/2024,2/3/2024
5000932,3000797,Level Up Your Gaming! Discounts on VR headsets and gaming controllers.,0.46,5/17/2023,5/31/2023
5000584,3000168,Capture Memories! Save on instant cameras and portable printers.,0.21,10/24/2023,10/28/2023
5000482,3000802,Learning Made Fun! Discounts on kids' tablets and educational apps.,0.35,3/10/2023,4/8/2023
5000259,3000686,The Home Office Hub! Discounts on ergonomic chairs and standing desks.,0.17,7/1/2023,7/26/2023
5000973,3000444,The Art of Sushi at Home! Save on sushi-making kits and rice cookers.,0.4,11/7/2023,11/12/2023
5000354,3000288,Bakeware Bonanza! Save on nesting bakeware sets and baking sheets.,0.24,11/3/2023,11/4/2023
5000745,3000369,Bold & Bright Sale! Extra savings on statement tees and colorful prints.,0.14,9/5/2023,10/2/2023
5000897,3000598,Flash Sale Alert! Limited-time discounts on wireless headphones.,0.35,11/3/2023,11/18/2023
5000174,3000542,Holiday Cheer Savings! Extra discounts on festive sweaters and cozy accessories.,0.26,8/18/2023,9/7/2023
5000571,3000934,Spice Up Your Kitchen! Discounts on herb garden kits and spice racks.,0.12,6/20/2023,6/29/2023
5000193,3000986,Portable Power Perks! Save on portable speakers and power banks.,0.1,10/12/2023,10/15/2023
5000530,3000704,Crystal Clear Sound! Save on noise-canceling headphones and soundbars.,0.26,6/22/2023,6/27/2023
5000159,3000416,The Gift of Fitness! Discounts on fitness trackers and smartwatches (perfect for gifts).,0.1,12/13/2023,12/23/2023
5000906,3000599,Breakfast Bonanza! Save on waffle makers and breakfast sandwich makers.,0.23,12/10/2023,12/30/2023
5000644,3000285,Meal Prep Magic! Save on food storage containers and lunch box sets.,0.1,11/2/2023,11/10/2023
5000039,3000347,Level Up Your Gaming! Discounts on VR headsets and gaming controllers.,0.32,5/20/2023,6/13/2023
5000580,3000750,Peace of Mind Protection! Discounts on smart home devices and security cameras (indoor).,0.49,9/22/2023,10/11/2023
5000760,3000259,The Art of Baking Sale! Discounts on stand mixers and cake decorating tools.,0.43,8/27/2023,8/30/2023
5000064,3000346,Upgrade Essentials! Save big on smartwatches and fitness trackers.,0.37,7/22/2023,7/23/2023
5000769,3000652,Meal Prep Masters! Discounts on food prep containers and portion control tools (advanced).,0.13,5/11/2023,5/17/2023
5000926,3000931,The Productivity Boost! Save on noise-canceling headphones and wireless keyboards (ergonomic).,0.31,1/29/2024,2/27/2024
5000117,3000799,Leftovers Love! Save on food storage containers and portion control tools.,0.14,12/31/2023,1/29/2024
5000607,3000413,The Art of Fermentation! Save on yogurt makers and kombucha brewing kits.,0.29,5/15/2023,6/11/2023
5000792,3000126,Get Creative! Save on digital cameras and editing software.,0.44,12/2/2023,12/7/2023
5000862,3000190,Leftovers Love! Save on food storage containers and portion control tools.,0.23,5/9/2023,6/3/2023
5000845,3000358,Home Security Hero! Save on security cameras and monitoring systems.,0.4,7/5/2023,7/27/2023
5001007,3000662,Capture Memories! Save on instant cameras and portable printers.,0.14,7/28/2023,8/20/2023
5000410,3000526,Movie Marathon Must-Haves! Save on streaming devices and popcorn makers.,0.14,2/5/2024,3/3/2024
5000678,3000004,Read Anywhere! Save on e-readers and audiobooks.,0.15,12/3/2023,12/20/2023
5000894,3000076,Back to Basics Sale! Extra savings on timeless wardrobe staples.,0.1,12/6/2023,1/2/2024
5000780,3000681,"Sun's Out, Savings Out! Extra discounts on swimwear and sun hats.",0.24,8/17/2023,9/13/2023
5000618,3000778,Read Anywhere! Save on e-readers and audiobooks.,0.16,2/26/2024,3/12/2024
5000099,3000577,Herbivore Haven! Save on indoor herb garden kits and grow lights.,0.4,4/10/2023,4/22/2023
5000004,3000723,Read Anywhere! Save on e-readers and audiobooks.,0.49,10/4/2023,10/17/2023
5000949,3000331,Level Up Your Gaming! Discounts on VR headsets and gaming controllers.,0.24,4/14/2023,5/11/2023
5000296,3000251,Soup's On Sale! Discounts on immersion blenders and slow cookers.,0.5,7/19/2023,8/4/2023
5000087,3000477,Meal Prep Masters! Discounts on food prep containers and portion control tools (advanced).,0.25,5/6/2023,5/12/2023
5000321,3000504,Level Up Your Gaming! Discounts on VR headsets and gaming controllers.,0.4,8/1/2023,8/12/2023
5000347,3000167,"Rainy Day Deals! Discounts on raincoats, boots, and windbreakers.",0.48,8/17/2023,9/7/2023
5000647,3000881,Learning Made Fun! Discounts on kids' tablets and educational apps.,0.34,2/21/2024,3/3/2024
5000163,3000307,Flash Sale Alert! Limited-time discounts on wireless headphones.,0.39,5/26/2023,5/30/2023
5000610,3000550,Level Up Your Gaming! Discounts on VR headsets and gaming controllers.,0.48,4/21/2023,5/12/2023
5000758,3000113,The Home Office Hub! Discounts on ergonomic chairs and standing desks.,0.18,5/21/2023,5/31/2023
5000022,3000493,"Layering Essentials! Discounts on cardigans, vests, and turtlenecks.",0.39,12/25/2023,1/14/2024
5000429,3000101,The Power of Music! Discounts on wireless speakers and portable chargers (high capacity).,0.13,7/28/2023,8/16/2023
5000667,3000322,The Home Office Hub! Discounts on ergonomic chairs and standing desks.,0.15,4/15/2023,4/26/2023
5000270,3000811,"Layering Essentials! Discounts on cardigans, vests, and turtlenecks.",0.23,3/7/2023,3/30/2023
5000602,3000396,Read Anywhere! Save on e-readers and audiobooks.,0.36,7/29/2023,8/14/2023
5000627,3000902,Capture Memories! Save on instant cameras and portable printers.,0.2,12/26/2023,1/16/2024
5000576,3000873,Bakeware Bonanza! Save on nesting bakeware sets and baking sheets.,0.28,4/11/2023,5/10/2023
5000893,3000948,Pizza Perfection! Discounts on pizza stones and pizza ovens.,0.37,9/8/2023,9/22/2023
5000748,3000068,The Power of Music! Discounts on wireless speakers and portable chargers (high capacity).,0.21,12/20/2023,1/12/2024
5000337,3000079,The Art of Sushi at Home! Save on sushi-making kits and rice cookers.,0.37,12/1/2023,12/7/2023
5000980,3000425,Kitchen Gadget Giveaway! Enter to win a food processor or blender.,0.47,2/29/2024,3/4/2024
5000826,3000342,Loungewear Luxe! Discounts on luxurious robes and comfy slippers (plush).,0.26,4/4/2023,5/1/2023
5001014,3000379,Soup's On Sale! Discounts on immersion blenders and slow cookers.,0.3,11/4/2023,11/8/2023
5000376,3000207,Soup's On Sale! Discounts on immersion blenders and slow cookers.,0.5,12/12/2023,12/22/2023
5000988,3000976,Coffee Craving Cure! Save on coffee makers and smart kettles.,0.43,3/27/2023,4/2/2023
5000993,3000512,Pizza Perfection! Discounts on pizza stones and pizza ovens.,0.42,9/24/2023,10/13/2023
5000049,3000635,Capture Stunning Selfies! Save on ring lights and phone tripods.,0.21,9/26/2023,9/30/2023
5000409,3000120,Level Up Your Gaming! Discounts on VR headsets and gaming controllers.,0.22,8/23/2023,9/21/2023
5000537,3000154,Level Up Your Gaming! Discounts on VR headsets and gaming controllers.,0.14,8/10/2023,8/20/2023
5000226,3000829,The Power of Music! Discounts on wireless speakers and portable chargers (high capacity).,0.17,4/9/2023,5/9/2023
5000820,3000735,Meal Prep Magic! Save on food storage containers and lunch box sets.,0.37,12/2/2023,12/15/2023
5000515,3000236,The Art of Baking Sale! Discounts on stand mixers and cake decorating tools.,0.43,12/25/2023,1/23/2024
5000666,3000115,Flash Sale Alert! Limited-time discounts on wireless headphones.,0.38,2/8/2024,3/5/2024
5000060,3000693,"New Year, New You Sale! Extra savings on activewear and fitness trackers.",0.31,8/21/2023,9/17/2023
5000343,3000025,Movie Marathon Must-Haves! Save on streaming devices and popcorn makers.,0.23,3/24/2023,3/28/2023
5000732,3000687,Capture Stunning Selfies! Save on ring lights and phone tripods.,0.18,7/27/2023,8/15/2023
5000261,3000648,Holiday Cheer Savings! Extra discounts on festive sweaters and cozy accessories.,0.18,10/18/2023,10/27/2023
5000007,3000552,Breakfast Bonanza! Save on waffle makers and breakfast sandwich makers.,0.15,2/21/2024,2/23/2024
5001001,3000226,Bold & Bright Sale! Extra savings on statement tees and colorful prints.,0.36,4/17/2023,4/19/2023
