CUSTOMER_ADDRESS_ID,POSTCODE
VU72,3210
WF74,2044
ZA32,2090
KR93,3961
MV48,4527
JQ20,2300
WL11,2191
NL68,1366
PB76,3935
VK33,5206
FR17,3245
RZ08,3323
LX21,4615
FU87,1293
AJ82,1257
JD40,3942
ID72,3270
BG94,1808
UN69,2645
QN74,5143
WE74,3250
KV68,4243
ZD40,3818
DO27,2290
QT78,2901
UL57,3744
TF94,3090
UN48,5068
ZR09,4062
AF30,4535
DU03,2901
UE97,2531
PH49,3726
NG91,3942
FO53,5082
YI79,2044
XQ44,2384
WD28,3378
MG48,5317
WF79,3628
GL02,1816
GN08,5075
EX24,1715
XY08,2389
QO73,2122
CI21,1821
AN16,2242
ZG65,4483
CC43,5040
IF87,4220
BI00,4460
ZW27,3141
LZ18,4172
UL47,2125
EJ87,2779
IS24,3664
VU88,3717
SS44,3004
YP69,3844
XD57,3040
UX46,4427
ET19,2081
UD04,3396
DP64,1564
UD30,1772
DR42,2309
AN06,2798
MY12,2613
YI33,1878
NK45,5206
UJ65,4065
XH44,3696
QR67,4293
BJ47,4176
NH02,4875
CQ83,3603
AA48,3935
BS50,4349
BV05,3742
LF30,2950
TG05,1821
CN20,3896
QW88,1218
ZM92,2169
JN53,3396
PK31,3277
AG70,1856
DQ89,3914
WD84,3079
PP39,4807
AM59,4414
DJ50,3001
TM26,4043
JU02,4815
UB56,3800
VQ29,5195
CX92,2739
XK35,1808
RO24,4240
BV26,1179
DB65,1144
CP26,3046
SR43,2794
BA72,5024
DO26,3483
BH43,4989
JT81,3744
HW16,4297
BW74,4577
KA48,2869
RG87,1261
DT69,1299
YL11,1509
PZ21,3935
WO04,5003
BU25,3803
PZ45,1161
KX62,1688
ZM23,5370
UT59,4040
OV24,2454
BT21,2968
OV12,3795
ZG13,2805
LU09,1477
BO94,3288
ZN48,3417
XJ52,4754
AI05,4158
SB57,2135
WC49,2137
BL38,2726
CZ00,4185
XC08,4473
YN23,1273
WO80,4754
FV72,4621
XE65,2628
PG97,1386
IE74,5279
YL49,4220
WI90,2723
AN76,1841
XW91,1741
BI94,4146
YY52,2628
WD42,3013
PK39,4315
TY76,3710
OY74,5262
IH79,4892
AL65,4168
DQ20,4155
AB32,4638
EA22,2299
WT98,2215
IJ36,1901
QR89,3500
AS91,2883
AU33,2155
AG24,1710
PZ42,5327
RX83,5017
UJ58,3298
ZU70,1953
BI57,2410
NV64,2612
YE87,2677
YD53,5229
UI89,4156
UC61,4089
KH50,1915
CQ37,4777
ZR55,4251
EG67,1936
NB77,1394
LR96,4243
AM28,3874
CF86,5341
DF71,4045
IX55,2235
GR81,3974
FU72,3581
WA90,3504
RJ47,2055
MH68,4715
LI16,1361
UI76,2463
UU27,4657
VI06,3513
SE98,3545
XD62,1741
VJ35,3110
CK78,1168
WH44,3086
ID83,5302
QN58,2242
WQ58,4853
XR75,4140
QC61,2957
YG01,1979
OM00,3325
SI32,2325
ZP10,3449
SK49,3942
GB26,5076
YJ26,4615
JA34,2884
WY45,5305
JB58,2824
DL42,5339
TS54,2794
AZ80,1419
XM31,4533
PO42,4726
VS59,3854
CO99,3426
NS35,1160
LC64,3102
ZX92,2840
VE84,3778
IH95,1133
IG78,3745
EF91,5068
OO07,5125
FK40,2574
UK98,4483
QA97,1169
UM30,4191
SZ94,2034
CC95,2940
ZP65,5061
LE67,3810
LT18,4278
ML16,2429
NU96,5127
ZV61,2958
AU69,3709
DB01,3113
TO68,4453
FC80,3998
PS12,1924
EA68,1647
OA21,3306
XF45,5040
BZ72,3565
HV48,5205
AT37,4677
TS30,1332
GD94,3844
AX54,5135
MS79,1180
BC92,4754
LL14,1299
KR08,2675
PP59,3295
SX99,2413
QL04,2406
FR66,1901
BS62,3063
VL04,1287
MV21,3735
HO47,2390
RB50,1513
WD26,4248
AV65,3575
JR01,1821
TF12,1946
IC42,3947
OY67,3225
ZC16,1856
BZ27,1260
BI61,1841
XX58,2459
MH37,3250
MJ50,4015
ZE52,5024
MI36,1634
LQ86,4748
MB36,1919
TE31,2684
TZ07,4334
NC50,4772
NN36,4168
PN28,1202
IB81,2992
JR05,1544
PX85,1836
GC09,5285
GV07,2448
RB07,1421
CQ86,1310
JS40,2875
UZ36,1447
AO29,5031
CF32,5024
FV09,3762
QG88,4520
YP63,2288
PY32,5233
XU94,2440
AE71,1239
ZR88,4520
ZN47,4991
BA34,1253
KT74,2885
GR54,3664
IV22,5412
XH97,2898
KF53,3534
UW89,4239
UF78,3295
ZB13,2739
QW00,3415
GB47,4901
QJ60,4473
ZT90,2413
TH31,5037
MU63,4483
UK65,2495
WR95,2513
RJ83,1421
BK53,1772
KH68,2238
JO63,4663
MY24,2573
WP16,1419
LB76,3446
IJ52,3510
WA43,2875
GV25,4868
OM20,5302
XC60,4183
PR59,3439
BH10,4677
LE21,3439
XC55,2137
CV32,4986
PM66,1513
EV77,5127
RI35,4393
GC94,5314
YD74,4172
PI06,3273
GB55,2453
HY91,5083
XW36,3576
SE83,4276
CT72,4908
CQ69,2544
AK47,2145
EU78,1869
HH67,3717
BF40,2781
YP60,3285
GS89,5153
QK53,5128
JB79,1132
IB17,3622
RY98,5341
TM32,1841
KE41,4805
WS01,1899
LC44,3467
IN92,3037
ZP06,3841
SQ29,4638
JP52,1175
KR25,4520
DC14,2958
VZ01,2956
LS78,5189
OS48,4034
PT89,4248
SH77,3602
IT17,3744
OL15,1198
OU86,4609
YN80,5384
HV63,5090
IO83,4220
DB47,3469
PS62,4112
OJ78,5065
QF95,1473
HX80,2826
IA75,3507
GO09,2550
AD83,1261
BY58,1863
ST35,5125
RM95,4234
CH05,2928
YO60,1792
EU89,3785
VJ75,1915
ML77,2145
ZO86,3449
VT13,2033
PS01,4251
OL01,3708
ZH98,2061
CK53,3829
IP44,1187
AA47,3995
RO36,2392
ER32,2800
OM26,3267
RE43,2153
BI71,4154
RG50,2800
RF21,1521
WD84,1704
ZT53,3710
DU10,3950
PU59,3280
EQ74,1821
QB41,1274
IH68,4962
OJ92,2095
DU26,2761
WL15,3873
GW08,2008
IV69,4015
TP91,4992
CV68,1944
US27,1203
JX23,2891
HO93,3948
RE88,4805
SR98,5128
KO49,2675
BN36,2724
QF16,3358
YE88,2958
PI06,3293
NT46,5216
CH46,5115
SE56,2507
TO63,5102
CD27,4310
OA72,1311
UG69,3709
KY35,1919
AS91,2241
CV15,5271
TZ17,4777
BR11,5091
CX95,5335
ZT28,1287
QX54,2392
KL63,5024
OI14,2851
SV61,3829
SK83,1205
XP61,3844
OE32,1391
IE50,4623
PS35,1464
PF21,4908
PH81,3343
QR13,3211
RR05,2109
WK92,1463
OZ55,2440
LX67,5270
GV23,3285
BK92,4807
ZO59,1629
GZ78,1299
BP48,2048
KS58,4662
XH26,2397
FD24,3664
TD55,4779
BL02,4678
OO10,5208
CF87,3841
XF48,5082
VI79,3504
BT48,3706
AW64,4993
XJ08,1150
KD39,3935
SI73,1414
SD90,2553
ZB65,1934
JR24,4777
GE94,5098
PY89,3250
CQ61,4533
FY90,4816
HV70,2707
DG04,2684
NA63,2544
CQ92,4154
TM61,2396
UV17,3785
WG06,1575
KW32,1848
CF74,3200
BV28,1594
NI32,3513
BB71,4872
PL91,2296
XE99,4155
MX42,3250
FJ28,2389
EW37,4974
XY37,5322
DE70,2892
OF14,3237
NV61,5151
GC62,2079
SH28,3141
JA33,2847
YS09,3869
TX75,4645
ZO07,1549
RZ11,3948
BC47,5147
UL26,3234
AQ94,3332
QN85,2081
TF81,3907
OE67,3280
NO54,5388
BR32,4210
YJ05,3389
JT04,4134
TI66,1200
EV17,2584
YO78,2440
UZ87,4942
VC59,3628
XA87,5003
RA57,3912
LA77,5153
OU53,3234
QU50,3800
VN21,5153
WA53,4391
CE87,1688
DB08,2759
UC65,3925
ZE20,4617
AN50,1133
FW01,2202
KZ42,3027
DM45,2535
RZ46,4034
AG44,4726
UU65,4509
AC46,2295
OK59,4252
KT56,3708
KV38,3446
TO14,3358
KK52,4154
KZ87,2458
GO51,4427
UE57,5308
YL26,5354
ZL12,3415
IK08,5076
JT74,4532
FR88,2498
XO46,4546
YR78,4805
WG06,2584
XH13,4034
OB83,3923
YN44,1740
GF91,2392
PG97,1237
AD67,2535
QQ38,3149
HE96,3873
LZ53,5147
DK32,3740
QG51,2957
XF79,5308
NA49,4553
SW97,4797
OH85,5208
XJ30,3062
ZJ19,2498
SQ44,2647
WB24,2313
CZ32,4597
LD90,5130
HG26,3717
ZP41,1232
LM61,2087
QZ89,2090
MM10,3907
RO02,2044
ZT94,3418
OY64,3678
KS29,3415
PX82,4894
JY03,4771
FQ19,4986
CM05,1894
XD01,4422
JM88,3229
QJ68,4715
CA67,2708
GO63,2528
IA57,1200
OH82,1920
KO67,5265
PZ81,2952
IG14,4954
HP24,3576
DG78,5135
PD79,4062
EO76,2459
QV48,2813
XB31,2262
ES89,4483
QL94,1915
UA39,5032
WH61,3152
XI94,3446
YK63,2205
TR99,2286
CH56,5136
WE81,5072
VG35,4315
FZ63,3200
XZ73,2689
DS72,4845
VH93,4391
WL27,1466
ES04,5201
YF94,1899
MB95,1726
JJ76,2739
TV39,1564
ZF59,1259
EL01,4466
ZE78,3023
FI33,3184
JX31,3270
NA55,3678
BX06,4905
XB51,3912
MQ88,5233
OJ18,1669
QG35,1343
MZ04,2054
XV63,4041
ZD65,4215
KL87,5032
TV54,4155
TU60,2723
UW08,3884
KT50,3469
GG86,5105
RO95,2042
VZ08,2645
EK05,4099
HY35,3396
BZ33,3043
LO22,4868
BX92,2676
SK03,4765
XL13,2738
CB93,3893
ZQ93,1344
YN83,3250
ID78,4533
PM66,1340
KY01,2686
LK72,5069
SB88,2560
UM10,4935
EC39,2288
EH16,3778
OY04,1840
ZX39,2010
BJ26,2869
RR73,2070
TI65,5083
MJ68,3778
VL22,2498
LW24,4223
KO17,4065
GB55,3491
AR80,3717
QG79,3583
NV62,5277
FX46,4092
NY78,4995
CR61,1310
RG39,4325
AL63,3442
SB20,1505
KC08,5190
PK02,2497
GP14,1566
CW54,2550
FG88,3595
NN51,4140
LW40,4062
JN81,1428
MU86,1740
RA36,3628
OH83,2135
DT31,4560
KV98,4138
BA61,2498
WK58,5102
NU36,3204
YM16,3818
YH01,3706
MA41,3336
KD50,3291
JI79,4099
XY37,1726
IP70,4045
OQ98,4365
FR58,1307
WY73,2033
ML86,3885
TR53,4793
JM70,2274
FY25,3950
OM79,2827
NN25,4553
TJ92,4185
LY87,1755
FB34,2477
MV54,2112
DV52,2263
ZJ64,3923
DI02,4248
NI00,1150
FC06,2779
HQ54,1869
SA68,2415
PF83,5061
VH29,2553
ZJ68,3467
GC89,1816
RI46,4355
QZ06,3241
ZD64,1604
RP42,3152
EC03,4206
RD17,1655
TU66,2297
HL90,1505
CJ51,4749
YV59,2651
NL69,3770
BX56,2416
EH37,2087
UC28,4580
NT70,3412
RE57,2436
ZK26,3259
VZ81,1623
QD83,4853
WN12,1919
XF38,2214
ME75,1521
TE35,3483
CF14,5060
EH21,3914
JM50,3037
AX95,5083
PI44,3666
DT89,2069
SB09,1185
HM35,3325
HY28,3767
LI38,2310
EG02,4034
ZY27,3166
YK77,4740
QN94,5233
FH63,3191
NG39,4532
SN81,5222
VK46,3708
MG14,2879
LZ31,2396
BV55,2803
CL55,1473
TJ94,2617
MK54,4304
YG84,2141
GC19,1715
RV63,5216
HN53,2085
PR45,4483
XO20,1335
XG57,3153
LG79,3762
NB51,1647
TQ90,2232
LC08,4238
VV07,3345
BD56,3650
ZO33,3818
LW18,4175
ZQ77,4691
PX28,1169
MG81,4793
LG69,5214
AU05,4513
WY96,1946
JE34,5032
RK79,3442
SW34,4617
ST78,3278
EM60,4874
NK28,4757
IO04,4113
JP02,2732
FF67,2413
PY28,3834
IY83,3442
BP83,4678
VM60,4912
FP32,4062
QB06,2061
SD64,4755
VG56,1480
CZ98,1792
SB89,4328
MY83,3446
PU62,3843
TT31,3229
VF31,2033
DL39,1798
ZX91,2529
VP71,2529
TA23,5032
PB32,2122
BZ47,4087
EU96,5137
IU92,4991
OB66,2059
OK10,2022
RR19,4735
VV74,5115
DC12,1615
PY40,2803
ZQ06,2450
PQ38,1846
YG56,2122
IW06,2800
HJ89,5060
WY41,1901
CF36,4378
RZ45,4520
PZ52,2020
XD94,2242
AH89,5032
RF16,3040
ED69,4334
HK37,5065
SR02,4293
MD37,3102
RD40,1878
GT20,2275
OL88,4276
RK13,5273
GB80,2049
CZ58,3995
IK78,4816
UL55,3327
QG92,1126
TB79,4874
WA82,2449
VD87,4414
WS62,3200
HQ39,1513
FW81,1881
NY15,3438
RE72,1964
HT55,3899
CS76,3812
AX86,3745
TC29,5380
ZT45,4293
YR74,3166
BJ68,4234
KJ96,4243
WU20,2928
IA18,2491
SL39,1811
TW42,2800
JK73,2163
IU67,1934
QV40,3883
JT54,3618
HO13,1658
MC06,2496
WU44,2560
JW09,5017
QC90,5133
BI40,1785
FB04,4752
NB98,2423
SF05,5262
AZ70,1715
ST43,4376
PU89,4424
MM15,3942
ZJ95,3449
SF90,3557
WL87,1901
FU50,5032
MP71,2041
HT97,1215
KU10,5037
VN39,1560
WR86,3198
QL58,1808
LD86,5090
BN02,2800
TP16,2783
TD77,2138
ZI04,4185
GQ57,1419
UP80,4735
WT25,3285
CF22,1713
ZM27,3110
SI31,3086
WQ27,1755
OS06,2835
MK27,1521
IF04,3441
PC34,1821
CJ52,4218
SB65,4771
MD20,4188
EP88,2296
CV42,3604
MM75,3062
KH98,3323
MD73,4623
UK22,2745
FF98,4065
HZ84,2080
QC24,2421
SI20,2384
BG99,2008
CG10,4218
DK82,1156
GC36,3510
TP73,2531
TL65,2313
CD57,2716
SN66,3628
MA96,3739
AL18,3914
SI32,2055
IQ20,2614
IS56,1806
IL89,3717
IR01,1479
FV60,3468
TR23,4643
EN59,1865
SL44,2885
QQ85,2429
IK53,2234
IP85,1866
RN91,5049
MH48,3583
MD18,3654
SJ99,4224
SS24,2404
XB00,3389
CM94,3308
OT63,4677
GI68,3441
KX83,1477
IF00,1255
OK42,4202
XV67,2835
EG72,4334
VR29,4946
OE29,4428
VI14,2153
GS37,2026
YQ06,4292
BI59,1397
VA62,1740
XC27,2088
JJ27,4560
ZZ79,5415
LD03,3178
ZX20,2723
