POSTCODE,CITY,COUNTRY
5136,Nambalan,MQ
5339,Valencia,RU
2603,Tanahbeureum,CN
2459,Balogo,SY
1673,Boyu,TH
2290,Solok,US
5068,Carvalhal,PH
3601,Otavalo,SE
2884,Jiannan,SY
2226,Bendosari,MD
4815,Anding,UA
3291,Hluhluwe,MG
1383,Kondrovo,UG
2404,Suining,CU
3925,Toyoshina,MX
1562,Orodo,AU
4723,Gunziying,MN
2163,Vis,PH
3661,Bulusari,PL
4865,Mandikbatu,PH
4292,Vaitogi,FI
1911,Sibucao,PE
5271,Taytayan,BR
3241,Vavuniya,NG
2485,Gniechowice,BR
4134,Potelych,TZ
5190,Taekas,GR
2779,Dolores,AM
2416,Atlanta,KW
3618,Asia,MM
3449,Waldbredimus,NL
1335,Bianba,MN
5140,Campamento,LT
3452,Nglorogan,CA
2686,Succha,KW
1928,Saransk,CA
1319,Troyes,SY
4099,Dulian,TZ
2406,Sanquan,KW
5267,Nivnice,CU
3109,Beishidian,AR
1397,Qincheng,CU
3696,Eling,FR
2384,Mirotice,RU
4047,Rejoagung,HR
2544,Cube,UA
4266,Gununglarang,UK
3803,Kuantian,PL
1531,Longwei,NZ
1710,Yorosso,VN
1260,Mathambgwane,MD
3442,Kengkou,TR
4797,Dete,VE
1132,Dukhovnitskoye,FI
3744,Longfengba,VN
1205,Chengshan,BY
1466,Manouba,GR
1160,Krasnoye,FI
3327,Jingxi,SE
2584,Talisayan,AU
1324,Sizao,HR
1637,Fengli,MM
1539,Svilajnac,AR
2724,Gotputuk,SE
2745,Ledok,NL
4034,Sampangbitung,UY
3295,Boyarka,PL
1878,Haokou,AM
3726,Catac,MX
1866,Kambia,AR
3146,Haoba,BR
3438,Gitega,GR
4082,Namasuba,UG
3023,Aganan,MQ
2493,Pilaya,MX
5322,Ariana,CU
3678,Brondong,RU
2813,Napoles,UY
4243,Mentaras,FI
2034,Udobnaya,UG
1983,Tanbu,PE
5024,Rambatan,AU
1836,Lingdi,IN
2242,Buga,ID
2950,Uralets,UA
3178,Kalnibolotskaya,HN
4239,Rashaant,AR
1709,Andradas,CN
1895,Podwilk,US
2940,Paciran,AM
3332,Dongjiahe,BR
3800,Koshki,MQ
4986,Buzdyak,PH
3285,Konosha,PK
2954,Leceia,AM
2444,Coutada,PE
3756,Tanggu,PL
4546,Sundsvall,UY
1944,Wanganui,VE
2436,Tlogosadang,PL
1830,Coyaima,MD
4643,Cheping,BR
4062,Perjuangan,UA
4908,Sumberngerjat,IN
5388,Corgo,PK
5082,Jingguan,CI
3211,Lagayan,MX
4663,Xiakou,CU
4155,Motala,PE
3950,Talodi,PH
1936,Tateyama,CI
1805,Cisewu,UK
3375,Baloc,BR
1731,Bobrov,MD
4577,Pyatigorskiy,AR
3939,Sandefjord,CN
1168,Arteni,KW
4112,Guanting,UY
2776,Azua,KZ
3818,Coquitlam,TH
3298,Cisek,MX
2155,Sanli,VE
4946,Pasar,SY
5378,Amieiro,UG
4206,Darmasari,MG
3717,Rungis,TH
2245,Kimberley,VE
1578,Uzgen,PH
5151,Gardanne,RU
3326,Donggaocun,UK
1560,Gorzkowice,PK
3604,Ruse,MM
2323,Kruty,US
2716,Dasha,SE
4278,Belfort,YE
4765,Sanqiao,MN
3029,Kotauneng,BY
1161,Drammen,US
5308,Denver,AM
4214,Maubasa,UA
2641,Shanguang,PK
4376,Dabu,AM
1591,Kouango,HR
4601,Berlin,AU
2112,Kiten,NL
4729,Guishan,CU
3402,Tignoan,CI
5214,Markivka,HR
4535,Cruz,CA
3493,Hongshanzui,AU
5208,Xiongzhou,UK
4494,Zhengwan,ID
2689,Huangyang,RU
1840,Itacorubi,HN
4125,Duran,IN
3249,Tucdao,KW
1635,Honoria,PK
5250,Futian,US
3869,Raoyang,MN
2869,Vuokatti,MM
3141,Jianxincun,SE
4297,Canto,TZ
2827,Tilburg,CI
4315,Tuntum,LT
3779,Bacnotan,PL
2125,Sotnikovskoye,VE
3446,Ladoeiro,CD
4894,Matanza,BR
4509,Cotabambas,BY
3962,Wonorejo,UY
2953,Przeworsk,TH
5076,Ivanivka,US
4968,Yingshouyingzi,FI
3664,Horta,UA
1975,Jining,UY
4608,Farriar,AR
1343,Tambo,HR
2580,Meukek,VN
4328,Huansheng,SY
5072,Panorama,UY
4087,Penebel,FR
5218,Xinyang,PH
4288,Koson,PH
3090,Phoenix,HR
4853,Angono,MK
4240,Sumberpucung,CA
5170,Jinshan,CD
1215,Longquan,PL
2138,Bendoroto,MN
3896,Gabi,VN
2054,Tashanta,VN
2628,Sondo,CU
5384,Istaravshan,PH
4904,Dahe,YE
5147,Baozhu,AR
4208,Shancheng,RU
2055,Puhja,AM
2299,Ingersoll,SY
2850,Kihangara,KZ
2928,Paombong,NZ
2081,Labuhanjambu,NZ
4168,Petong,IT
2957,Filipowice,MQ
5135,Qinglung,LT
4659,Wattegama,BY
1191,Buturlinovka,NZ
4575,Warnes,GR
3760,Azenha,UG
2215,Purbalingga,FR
1655,Luoqiao,ID
4414,Surkhakhi,CI
1593,Karlskoga,MN
4166,Shangtang,NZ
4284,Potiskum,TR
3603,Pavlovka,MN
2313,Bilbays,MN
4735,Messejana,SY
1483,Zhufo,PE
4622,Wotan,FR
2109,Anjozorobe,US
1237,Inawashiro,RU
2070,Tanabi,UG
1321,Moluo,TR
3086,Iyo,MK
2191,Strzelce,HR
3254,Xinmen,TZ
1915,Avanca,VN
3581,Ursus,MX
3323,Lianpeng,AU
3627,Gaotuo,MQ
5195,Nantai,AU
1772,Lingtou,KW
2231,Longka,IT
2958,Xinyu,ID
3418,Abelheira,HR
2263,Yongqin,PL
2956,Palermo,PE
1307,Tantamayo,BR
2288,Pangian,NG
1852,Dingli,ID
4748,Tuhe,IN
4755,Daying,UG
1239,Sijihong,UY
3278,Pingxiang,PK
2058,Liuxiang,CN
1767,Khanabad,NZ
4769,Lianhua,FI
3716,Lyon,CN
2046,Jintang,UG
4726,Bopu,MX
3148,Gornyak,US
4124,Maoya,AR
4793,Lalagsan,AM
1293,Zuoxi,BY
3243,Sudogda,PK
1865,Zihu,IT
4424,Musawa,GR
3341,Rudy,FR
4223,Vilela,HR
3229,Cikaludan,CA
2780,Lomba,CN
2437,Weixin,FI
3507,Zyablikovo,NG
4140,Lijia,HN
3935,Karangsari,KW
1233,Danderyd,BY
3422,Dologon,FR
1127,Riangkroko,PL
4241,Aimin,SE
2535,Kanshi,NZ
1715,Tapera,TZ
3270,Tangzhuang,TR
3189,Umbuldamar,VE
4875,Dobdoban,TH
4435,Dongzaogang,BY
2234,Lindesberg,IT
2171,Ambovombe,NZ
3152,Carnot,SY
3441,Eldoret,KZ
2742,Anju,TH
4391,Hagerstown,TR
2389,Janja,CD
5304,Xishui,TN
4557,Dortmund,GR
4176,Omoku,KZ
2707,Alvide,AU
3478,Boulaide,AM
3467,Chengjiang,PK
2302,Hougong,BR
2509,Gaoqiao,AU
3272,Kunda,PE
2759,Hoolt,MM
3636,Rennes,CN
4185,Doubrava,BY
3907,Panoongan,MG
4246,Jingmen,TR
2732,Caxias,HN
4638,Carabayllo,AM
4387,Lazdijai,MM
5118,Mangarine,MD
3628,Shatoja,FR
1725,Rongdoi,SY
2531,Dongxiang,MK
4421,Xinghua,MK
1931,Tanjungbatu,TR
1255,Langgen,CN
1864,Senlis,PK
3451,Liloan,PK
3204,Boucinha,VN
1143,Miramar,KW
1863,Owerri,VN
2202,Jiaogong,AM
5032,Dainan,KW
1126,Georgiyevskaya,ID
1981,Vlachovice,KZ
3389,Cotia,MM
2296,Cambebba,HR
5236,Yandev,NG
3698,Amolatar,FI
2892,Shaba,TR
1670,Zielonki,KW
1713,Gusong,HN
1935,Aozai,RU
4654,Meilin,MQ
4657,Manjiang,ID
1869,Wuquan,TN
4805,Arpajon,UA
3158,Necochea,SE
1332,Cimanggu,IT
3998,Xiaqiao,US
1704,Jobabo,LT
3548,Wenquan,UY
2898,Nyandoma,FI
2297,Guandu,UA
3396,Pechenizhyn,FR
1144,Sallins,CU
3468,Alavus,NZ
4901,Xinhe,FI
5113,Ivouani,CA
4527,Vyazniki,FR
2463,Dordrecht,MD
3834,Zabrat,AU
2135,Heiiyugou,MM
4121,Dikirnis,MX
2241,Anseong,KZ
3115,Garnich,VE
4218,Bibrka,PL
3064,Youyang,MG
3411,Mangochi,NG
3551,Xingren,PL
3170,Sintansin,ID
4560,Oslo,ID
2469,Urug,LT
3280,Zhangfeng,HR
2295,Calasgasan,KW
5327,Huasta,UK
5216,Lindavista,TZ
2013,Vendargues,PL
3046,Cipesing,CI
3770,Kamenka,MM
1979,Abhar,GR
3654,Dongtundu,MD
4145,Mobai,MQ
3806,Uyskoye,MN
2386,Akashi,TN
4100,Yehud,FI
4609,Bojong,TH
4042,Leye,BY
4592,Volosovo,FI
3646,Damaying,UG
4965,Bambakashat,RU
1369,Daguma,AR
2361,Alvesta,AM
3412,Libacao,TZ
5410,Zliv,RU
4993,Waiwejak,TR
1271,Smolenka,US
4054,Shishi,IN
5279,Neni,CN
2495,Changjiang,RU
4365,Bochum,AU
2309,Oeiras,UG
2095,Infonavit,UK
2949,Alvito,AU
1676,Sedayulawas,MN
5193,Karangpocok,BR
3982,Vranje,AR
5083,Haodian,MN
3166,Straldzha,KW
2664,Jacksonville,CU
1512,Shuicha,UG
1169,Xiangtan,YE
4251,Pajannangger,UG
3200,Xuri,UY
2805,Longtanhe,TR
1590,Ljungby,YE
3043,Quanzhou,NL
4513,Roczyny,NZ
1634,Kajatian,AR
5365,Heihe,FR
3843,Shtip,MD
5285,Changuillo,SY
3785,Chulakivka,UA
4771,Palhais,YE
2351,Siguqiao,UG
2560,Gnojnica,PE
2522,Yuecheng,MQ
4645,Zhongguan,MK
4991,Jianshe,AR
3180,Portela,UK
3974,Dongpu,MD
2136,Dajin,NL
4662,Ufa,UK
4210,Kabalo,KW
4349,Bedayutalang,MQ
3494,Tours,MN
2458,Asykata,CI
3961,Chuoyuan,RU
3226,Bokaa,UK
4359,Shuguang,PK
3669,Loudun,AR
3153,Macabugos,GR
4785,Sijiqing,CA
4932,Tangxi,TZ
5311,Calaya,PL
4388,Matoupu,KW
3956,Pittsburgh,AR
2631,Ferbane,VN
2671,Rawang,PH
3114,Panzhuang,KZ
5354,Bamban,NL
2794,Chikwawa,TN
1615,Stockholm,AM
2016,Montilla,CI
3191,Tucson,AM
2033,Babakantonggoh,CD
5137,Tambaksari,GR
2851,Liushi,PK
1881,Sunduk,PL
1488,Mulyosari,CU
2079,Petropavlovsk,MX
3183,Tuoshi,HN
5031,Mikhaylovsk,CI
1148,Shangtianba,MK
2153,Babica,TN
2513,Caozhen,SY
4913,Pengandonan,KZ
3235,Zhanghekou,FR
2797,Jirny,VE
4089,Strogino,PH
4040,Yangzhen,CU
2069,Picoto,UA
1310,Yongchang,MX
4220,Gaoping,SE
3710,Sanbao,TN
1477,Sukoreno,KZ
3622,Wongsorejo,AR
1244,Patique,CA
1505,Kanluran,UK
3208,Xiayang,PE
5262,Adjumani,MD
1428,Longford,YE
3317,Tabalong,MM
1473,Larochette,MD
1386,Jingjiao,RU
2275,Mama,KW
1647,Farah,IT
2085,Kinna,BR
5229,Mainit,HN
5091,Bautista,PE
3746,Jiaobei,NZ
3918,Hermanus,AU
4378,Sacramento,TN
2453,Trondheim,SE
1480,Whitwell,PE
3417,Ljupina,AR
5363,Pailin,SY
3497,Pyatovskiy,UK
2507,Changhao,MK
4175,Breves,PK
2748,Hallstahammar,GR
5105,Dolulolong,MX
2534,Shuinan,MQ
3900,Karuri,MK
1311,Plovdiv,PH
3731,Lelkowo,CD
4974,Kramfors,MQ
3708,Imatra,MN
4623,Marseille,US
1751,Bacong,PE
2428,Sundbyberg,FI
4095,Tiandeng,PK
1965,Pumaqangtang,NZ
3225,Poitiers,CN
1261,Lubochnia,PK
3510,Quma,AM
3247,Caen,TZ
2781,Lhabupu,SE
4753,Zhoutie,MK
4289,Vyksa,TR
1479,Roshnik,TH
1953,Pucara,ID
5355,Higuerote,MD
1202,Viedma,AU
5270,Mohoro,MM
3947,Muli,VN
2300,Lakinsk,MX
2357,Baishuiyang,IN
2257,Haarlem,FI
5205,Yelizovo,NG
4460,Nankou,CD
4861,Bayasgalant,MX
1184,Huelkail,NZ
4989,Chimichagua,VN
1513,Taclobo,KW
1608,Guayaquil,PL
3602,Orlovat,IT
1273,Mandala,PK
2614,Pajapita,UG
2497,Kybartai,NG
2061,Subottsi,KZ
4173,Paritaman,YE
3816,Talibura,FI
5153,Xinglong,IT
3894,Jinja,VE
3423,Balayan,PL
1594,Kuzhu,ID
2087,Marolambo,LT
2042,Jiaqiao,TN
2129,Nnewi,VE
1135,Muarabadak,SY
1681,Shanghudi,MM
5133,Nianqiao,NL
1391,Huxingshan,FI
3526,Wutongkou,AU
3542,Apeldoorn,IN
1957,Yangying,UK
4995,Hepu,RU
1566,Falun,TR
5125,Changting,LT
3884,Liangwa,SE
1133,Xinshan,NL
2651,Kudanding,CN
3906,Pisarzowice,TZ
1920,Seremban,TZ
3306,Maojiadian,MM
1811,Babakan,CI
4191,Qitao,AR
1536,Ukhta,NL
5412,Shuren,AM
4207,Narach,YE
5374,Rongxi,AM
3044,Tabatinga,AU
4490,Blois,US
1198,Kaiyuan,UK
3184,Cifuentes,MK
1220,Kebon,HN
3958,Luhanka,UA
1427,Liliba,BY
4002,Bolikhan,MD
4912,Suyang,BR
1541,Kasturi,TN
4836,Loreto,YE
5183,Zhongxing,MQ
3040,Datong,MG
3001,Babakantugu,HR
4427,Thun,KW
4833,Armash,KW
1894,Heping,MG
3004,Shanga,MD
5206,Charlestown,PL
2392,Xushan,BR
2968,Qiaobian,CI
3642,Atibaia,CA
3220,Awka,LT
2111,Scottsdale,PH
2419,Novoanninskiy,MM
3934,Gumi,UY
4678,Qingjiangqiao,US
5233,Jubao,LT
1218,Gornorechenskiy,GR
3575,Xinshi,TR
4285,Singgugu,CU
2826,Changliu,TR
4045,Gaohong,TR
1289,Bezlyudivka,MN
4548,Xiaodukou,AU
2861,Senduro,ID
5143,Houjie,CU
2645,Cilated,NZ
2169,Jeruk,FI
2901,Thaton,HN
3820,Bagacay,FR
3343,Malaga,BR
2119,Neepawa,CD
4242,Binagadi,NG
3892,Weton,BR
1340,Tarkwa,MQ
3948,Zhangxi,CD
4874,Futtsu,MX
3336,Shengli,HR
4086,Toledo,CN
1203,Tullyallen,VN
3762,Tekeli,YE
3371,Langsepan,UK
2344,Myadzyel,MM
3188,Madagali,CI
2612,Lutou,KW
2885,Dongbian,GR
4072,Kyurdarmir,IN
3325,Fengting,MK
3513,Ukrainka,CA
2137,Moholm,AR
2334,Fenchen,NL
4113,Nagykanizsa,KW
3885,Cabean,US
5222,Hisya,VN
2875,Isyangulovo,CU
4752,Sucre,UA
4393,Moss,LT
4015,Panawuan,BR
1956,Jindui,UY
1658,Gorskaya,UG
4293,Kabul,TR
4671,Zhangjiawan,BR
4532,Nagareyama,ID
1175,Altos,PE
3824,Zaliztsi,SY
5178,Reno,MK
4238,Jiebu,HN
2448,Tsurib,MX
2891,Manat,CN
1549,Prengtale,AU
1366,Svetlyy,BY
5402,Libuganon,PE
2410,Przywidz,AR
4325,Bacungan,PE
3072,Detroit,KW
5273,Chenjiatan,LT
2286,Roodepoort,BY
4172,Laibin,BR
3841,Jaworzynka,IT
5048,Vylkove,MQ
4905,Ossora,MX
1472,Langkaplancar,MM
3308,Sargodha,NL
4985,Povarovo,UA
2421,Orangeville,GR
3119,Visby,KZ
3909,Bungu,TR
2235,Manyana,NG
3259,Talisay,NZ
1267,Ostrov,MM
2529,Bern,UA
2574,Ubud,HN
2723,Agboville,BR
3649,Bassila,MG
2952,Fuxing,UG
4870,Sambonggede,UA
4351,Kitcharao,CN
1726,Fuxi,BR
1749,Pampanito,AU
3099,Porsgrunn,UA
2824,Panambi,HN
4590,Jamalteca,MK
2273,Melres,SE
4247,Cibaregbeg,NZ
3277,Liqiao,TH
2764,Kurnia,NZ
4710,Inazawa,MM
3426,Gananoque,RU
1450,Sale,MX
3606,Shiroi,LT
5317,Lamas,PH
3483,Cabimas,TN
2010,Chelu,CU
4740,Baleagung,TZ
2684,Fuming,AU
2008,Waterloo,IT
4749,Ortiga,IN
4092,Guadalupe,UK
3742,Kurmuk,FI
1524,Glugu,TR
4483,Guinsadan,BY
3027,Pribrezhnyy,MX
4779,Cermee,GR
4777,Tyarlevo,SE
3780,Buk,PE
5201,Isulan,UG
4551,Chengdu,AR
5257,Gudang,VN
3557,Uddiawan,CD
5380,Pizhanka,FI
1414,Koumra,PE
1643,Obikiik,UK
2835,Stepanivka,TH
4845,Tiexi,FR
3706,Mungkin,US
2214,Nanggorak,FI
2435,Lille,PK
1464,Telsen,LT
3732,Rozivka,MQ
1785,Caluquembe,FI
4181,Shenwan,TR
1964,Fenshui,PK
4065,Cibitungmasjid,CA
2022,Yushugou,ID
4154,Kuybyshev,NG
1557,Milano,CA
3518,Xiaosong,PH
3169,Ningxin,BY
4978,Jiyukou,UG
1304,Foumban,SE
2676,Xiaojinkou,CD
3111,Kanbe,TN
4621,Yonago,MK
3650,Giade,AM
1816,Hobart,UA
4990,Wurno,CA
1848,Stuttgart,CU
4822,Timaru,LT
4183,Filipstad,ID
2325,Guamal,HR
2667,Nazarje,UY
2228,Payxambabazar,CD
5226,Bulgan,MX
5069,Limoges,UY
1421,Panyarang,BY
1806,Luobei,BY
5037,Langchi,TN
5049,Laiyuan,PE
3033,Takaishi,NZ
5150,Baizhu,CA
3705,Toyooka,PH
3307,Tunal,TZ
3504,Debesy,MN
4942,Independencia,PL
3874,Laixi,PE
1290,Taremskoye,KW
3812,Huangtugang,FR
5165,Muskegon,PL
5173,Alapayevsk,US
4520,Dalai,MQ
3273,Mataquescuintla,KZ
4715,Kotabumi,MD
2415,Cornwall,GR
2783,Savonranta,BR
4871,Buenavista,ID
3267,Huangsha,CN
3810,Kipit,PH
3037,Mozhga,IT
1419,Shijiazhuang,UK
5128,Songgai,AR
3709,Safi,PK
2553,Luyang,BR
4447,Seto,CI
2367,Biryukove,PK
3110,Klana,FI
2449,Dzerzhinsk,ID
1361,Ylitornio,TN
3245,Gaoyang,PL
1403,Eskilstuna,AU
1287,Kyzylorda,PE
1688,Yaroslavskaya,MN
3250,Chaplygin,NG
4987,Pulo,IN
5213,Liangdong,KZ
4553,Garmeh,YE
3595,Madrid,PK
4156,Potou,MN
2450,Trstenik,TZ
2347,Dongling,MG
3545,Bulongji,KZ
5074,Pengxing,RU
5098,Gukovo,AR
4428,Jiushe,KZ
2059,Siocon,ID
1551,Quezalguaque,AR
3844,Melgar,PL
1666,Pacar,AR
2798,Siquirres,GR
2020,Aricagua,FI
5046,Amherstburg,VN
2445,Shumerlya,MM
3172,Placer,FR
3102,Svatava,VN
2726,Daba,CA
4962,Huqiu,YE
2090,Simajia,LT
3210,Rancharia,LT
4702,Shakhty,HR
2590,Kedungwringin,UY
3967,Xigaoshan,GR
4158,Kario,CA
3673,Cradock,MG
1822,Tarata,FR
3469,Tegalrejo,HN
3368,Jaro,YE
5335,Kemang,PL
4479,Nekrasovka,HN
3113,Tapas,UY
2044,Hongmiao,MN
4580,Chengyang,UA
5189,Castanheira,TR
4224,Maungatapere,FI
3491,Shanhe,HN
4686,Jiuhua,RU
2194,Huangtian,MN
3873,Mankono,MK
2498,Klapagading,VN
3829,Lityn,US
1934,Qiganjidie,BR
4988,Aston,PK
3893,Kalepasan,AR
4466,Leiria,VN
3439,Wonodadi,NL
1150,Tungelsta,MQ
2819,Huaguo,UG
4992,Ornontowice,VE
2524,Bongao,GR
3942,Shaxi,FI
3533,Panacan,CI
1899,Obolensk,PK
2473,Mostovskoy,CA
1544,Hujigou,ID
3500,Xiangshun,KW
2429,Tysmenychany,AM
1447,Barreira,AM
5102,Kairouan,UK
3611,Pineleng,KZ
4362,Mariscala,UG
4615,Shitang,HR
4868,Nairobi,MN
2369,Momil,BY
3739,Newton,AM
2049,Shabqadar,KZ
3715,Jiangdong,IN
1973,Rawasan,UG
3345,Qiaotou,LT
2617,Thamaga,MN
1552,Bosen,AR
2883,Pukou,UG
1247,Lafia,HN
3740,Baranovichi,AR
1575,Sanpai,PK
3079,Bafoussam,PH
4304,Mobara,FR
4661,Youdian,MD
2922,Ganding,YE
2496,Songying,PE
4355,Uba,KW
4192,Amga,YE
3470,Chenhu,UG
5353,Jianghu,TR
3767,Kostinbrod,MM
1314,Liji,GR
1613,Wangjiang,MX
4118,Vostochnyy,LT
2647,Taoyang,VN
1919,Pnikut,KZ
3854,Malikisi,MG
5157,Dongsheng,UG
2204,Boucinhas,BY
2591,Novocherkassk,MQ
1509,Sidomulyo,CI
3363,Sagay,TH
5223,Majiao,SY
5116,Jinqiao,IN
3198,Semanding,CA
4508,Barras,VE
3583,Lunenburg,CU
2066,Mawa,ID
3049,Kudang,PH
1521,Guling,UK
5144,Araal,IT
3035,Longmiao,FI
4058,Pszczew,MK
1180,Sartana,CN
2675,Cernay,RU
3397,Ngudu,MD
5114,Labruge,CI
3415,Shcherbinka,MX
3279,Zhongguanyi,TN
1226,Calingcuan,CI
3561,Yunxi,BR
1274,Iralaya,TH
5203,Lilongwe,YE
2274,Quimper,IN
2041,Austin,RU
1798,Berezivka,NL
4518,Ekazhevo,CU
2677,Wangzuizi,TH
2840,Gafargaon,KZ
3755,Gondang,PH
5370,Xujia,YE
2537,Makungu,HR
3613,Huangjiazhai,PK
3366,Vientiane,ID
2193,Borovskoy,GR
5244,Cambuga,PL
1406,Kudymkar,ID
1924,Wysoka,VN
3937,Tabira,TH
3134,Shilovo,TN
1856,Yingdianjie,CU
4959,Strelitsa,TR
5302,Shuanghe,BR
3735,Bolekhiv,CD
4310,Katuli,UY
1156,Roriz,PL
1299,Viradouro,CI
5314,Yayao,AR
5277,Parajara,AM
3457,Xinpo,TN
4453,Idrinskoye,CN
3237,Jintan,UK
2717,Xiangride,FI
2145,Sawaengha,TR
5060,Urrao,CN
4883,Gyumri,FR
1764,Xinmin,MG
1886,Simpang,YE
3666,Wenchang,MQ
4757,Poiares,US
2595,Sydney,US
5112,Kundung,FR
3395,Bicaj,FI
3883,Bitin,NG
4877,Sukamenak,IN
2359,Thongwa,MK
5075,Combita,IN
4462,Harrisburg,MK
2765,Aourir,CD
2220,Manning,TN
1231,Wanghu,TN
2992,Ngetkib,KZ
2262,Dashi,AM
2477,Huaizhong,VN
5065,Gjinkar,US
4677,Hengling,UK
3977,Taloqan,YE
2440,Otradnyy,BR
2847,Amiens,VN
1794,Yaroslavl,CD
2516,Danzi,AM
3274,Kakanj,KW
4170,Paujiles,TH
4433,Leones,MN
2423,Stavanger,TZ
5115,Sumberarumkrajan,NL
4816,Karmaskaly,IN
4691,Studzionka,PK
5347,Sotouboua,IT
5007,Tocopilla,AR
1874,Plumtree,IN
2550,Primorsk,UA
2004,Bagumbayan,SY
5017,Yesan,TN
2390,Tabou,IN
2048,Boavista,UY
4252,Angasmarca,TN
5228,Shajing,TZ
3063,Kitango,PL
2310,Manacsac,UA
2771,Udi,NG
3711,Retenggoma,MX
1946,Lospalos,BR
1463,Barat,HR
2571,Kadoma,AU
2396,Datar,US
2800,Karanganyar,VN
2454,Arras,PL
1623,Bologoye,CI
5057,Perm,TZ
3795,Olafulihaa,FR
2573,Jeong,VN
4473,Paprotnia,CD
1257,Embi,CD
4533,Silago,BR
2122,Guantang,KZ
4146,Toukh,NG
4334,Pavlovskaya,TH
4476,Jiquilillo,AM
2738,Budva,HR
1563,Palangue,UY
1832,Bukitkemuning,CU
5040,Coloncito,TR
2903,Sarangmeduro,PL
4043,Twardawa,KW
1620,Protvino,NL
1232,Hetai,TR
2635,Gongnong,SE
1901,Ebene,GR
4111,Luqiao,GR
3639,Longcun,FR
1187,Tintina,AM
3576,Malabonot,MD
2505,Kudus,IT
3288,Tsaghkahovit,MK
4617,Wucheng,MG
1846,Sikeshu,SE
5333,Gumdag,FI
1200,Qiulu,KZ
2863,Mococa,IN
2919,Sancha,ID
4892,Charlotte,US
1209,Vidin,UY
5341,Tianjiaba,AR
4754,Heredia,MN
5130,Jaen,MK
2413,Jargalant,HN
4540,Nedryhayliv,BR
1808,Semiluki,MK
2753,Badar,HN
3815,Krouna,PL
3778,Qianjia,YE
2397,Durham,VE
1740,Tiron,ID
2687,Kiarajangkung,AR
3823,Houston,IT
3051,Paipu,IN
4597,Blora,BR
2176,Liyuan,NZ
5415,Yauca,HR
5061,Banjarwaru,VN
5265,Fangxiang,TR
3261,Orikum,MD
2238,Zhanghua,LT
3089,Ubrub,MQ
1253,Pacasmayo,BR
2538,Wuda,CA
1296,Singaraja,UK
3354,Kadukandel,PL
4276,Newport,AU
3609,Cilongkrang,IN
2064,Yartsevo,HN
3378,Ordzhonikidzevskaya,BY
2879,Lanckorona,FR
3565,Chicago,UK
3912,Mafeng,MD
5041,Leuwihalang,BR
1179,Huangjinjing,UA
3013,Cibeureum,NL
5185,Poja,KW
4234,Huntington,TR
4422,Markaryd,AU
1669,Naji,AU
4840,Bejuco,US
3173,Granja,CU
2491,Katakwi,PH
4935,Kawungsari,NZ
4571,Nan,GR
2080,Esquipulas,AM
5003,Yarmolyntsi,PH
1890,Qingshan,MG
2205,Yanwang,FR
2026,Yukuhashi,FR
1399,Dushanbe,NZ
2232,Amphawa,LT
2613,Shiraz,FI
2731,Atami,PL
3112,Pereira,MG
4872,Stupsk,IN
5090,Parakanpanjang,CN
4248,Chapultepec,ID
3594,Samir,MM
3149,Shanlian,MX
4052,Praya,PK
3923,Khadyzhensk,PH
1821,Zabrze,HR
1792,Meixian,TZ
5212,Lephalale,TN
3205,Kurchatov,AR
1955,Maopingchang,MQ
1629,Hongshanyao,HR
4041,Shofirkon,MX
3286,Chignayhua,NL
1185,Maglaj,TR
4130,Baleber,NL
2088,Gaplokan,VN
2739,Brooklyn,CU
4828,Lloydminster,NG
1394,Shanxi,TR
4085,Zhapu,BR
2915,Simitli,MD
2761,Nadezhda,MN
1190,Baiyin,FI
3655,Murmashi,CD
1564,Jinsheng,PL
4215,Dazhongzhuang,PE
4807,Andalan,RU
1741,Shiguai,BY
4188,Cabusao,SE
2528,Beijiang,TH
1259,Pingtang,UG
3358,Subulussalam,UY
2708,Nangkasari,VN
4772,Xinba,KZ
4138,Coutances,PE
2141,Xinbu,MD
3293,Xingxi,MN
3062,Mizunami,GR
2315,Pleshanovo,VN
1529,Augusta,YE
1755,Yanzhou,CU
5305,Ouzini,CD
1478,Guohe,KZ
3914,Imbang,CD
3634,Apucarana,CD
1522,Cavinti,MG
4068,Amashca,SE
4954,Laoliangcang,CI
3899,Ilembula,UA
3534,Cihambali,PH
2905,Tashang,UG
3941,Yangyuan,BR
1819,Alakak,NL
3234,Shilipu,NZ
3745,Fonadhoo,UG
5182,Zarzal,NG
3995,Liboran,CN
4933,Ouidah,VE
2878,Bolinao,CI
2969,Hvar,LT
2803,Bugene,CI
2909,Paledang,KZ
1604,Leticia,AU
4202,Srednebelaya,CD
5127,Kraczkowa,IN
2430,Kuliyapitiya,PL
1841,Hoogeveen,ID
1818,Fucha,NG
1344,Erpeldange,NZ
1487,Qukuhu,YE
